SUB_TXT,STATION,DISTRICT,REGION
MOUNT MCLEOD,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
MOUNT MELVILLE,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
MOUNT MERRIVALE,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUNT MINNIE STATION,ONSLOW,PILBARA,REGIONAL WA REGION
MOUNT MONGER MINE,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUNT MONGER STATION,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUNT MORGAN,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUNT NARRYER STATION,MULLEWA,MID WEST-GASCOYNE,REGIONAL WA REGION
MOUNT NASURA,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
MOUNT NEWMAN,NEWMAN,PILBARA,REGIONAL WA REGION
MOUNT NEY,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUNT OBSERVATION,YORK,WHEATBELT,REGIONAL WA REGION
MOUNT PADBURY STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
MOUNT PALMER,SOUTHERN CROSS,WHEATBELT,REGIONAL WA REGION
MOUNT PHILLIP STATION,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
MOUNT PLEASANT,PALMYRA,FREMANTLE,METROPOLITAN REGION SOUTH
MOUNT RAGGED,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUNT REMARKABLE STATION,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUNT RICHON,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
MOUNT ROMANCE,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
MOUNT ROVE,NULLAGINE,PILBARA,REGIONAL WA REGION
MOUNT RUPERT,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
MOUNT SANDIMAN,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
MOUNT SEABROOK STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
MOUNT SHADFORTH,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
MOUNT SHEILA,TOM PRICE,PILBARA,REGIONAL WA REGION
MOUNT SHERIDAN,LAKE GRACE,GREAT SOUTHERN,REGIONAL WA REGION
MOUNT SHORT,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
MOUNT STIRLING,QUAIRADING,WHEATBELT,REGIONAL WA REGION
MOUNT STUART STATION,PANNAWONICA,PILBARA,REGIONAL WA REGION
MOUNT TARCOOLA,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
MOUNT TOM PRICE,TOM PRICE,PILBARA,REGIONAL WA REGION
MOUNT TOM PRICE STATION,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
MOUNT VERNON STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
MOUNT VETTERS STATION,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUNT VIEW STATION,KALBARRI,MID WEST-GASCOYNE,REGIONAL WA REGION
MOUNT VIRCHOW,KARRATHA,PILBARA,REGIONAL WA REGION
MOUNT WALKER,NAREMBEEN,WHEATBELT,REGIONAL WA REGION
MOUNT WARRIEDAR,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
MOUNT WELCOME STATION,ROEBOURNE,PILBARA,REGIONAL WA REGION
MOUNT WELD,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUNT WELD STATION,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUNT WELLS,BODDINGTON,GREAT SOUTHERN,REGIONAL WA REGION
MOUNT WILLIAM,YARLOOP,SOUTH WEST,REGIONAL WA REGION
MOUNT WINDARRA,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MOUROUBRA,BENCUBBIN,WHEATBELT,REGIONAL WA REGION
MOUROUBRA STATION,BENCUBBIN,WHEATBELT,REGIONAL WA REGION
MOWANJUM MISSION,DERBY,KIMBERLEY,REGIONAL WA REGION
MOWEN,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
MOWLA BLUFF STATION,DERBY,KIMBERLEY,REGIONAL WA REGION
MUCCAN STATION,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
MUCHEA,GINGIN,WHEATBELT,REGIONAL WA REGION
MUCKENBURRA,GINGIN,WHEATBELT,REGIONAL WA REGION
MUELLER RANGES,HALLS CREEK,KIMBERLEY,REGIONAL WA REGION
MUGGA MUGGIN,GOOMALLING,WHEATBELT,REGIONAL WA REGION
MUGGAN STATION,MULLEWA,MID WEST-GASCOYNE,REGIONAL WA REGION
MUIRON ISLAND,EXMOUTH,PILBARA,REGIONAL WA REGION
MUJA,COLLIE,SOUTH WEST,REGIONAL WA REGION
MUKINBUDIN,MUKINBUDIN,WHEATBELT,REGIONAL WA REGION
MULAN,BALGO,KIMBERLEY,REGIONAL WA REGION
MULATAGA,KARRATHA,PILBARA,REGIONAL WA REGION
MULGA DOWNS,TOM PRICE,PILBARA,REGIONAL WA REGION
MULGA DOWNS STATION,TOM PRICE,PILBARA,REGIONAL WA REGION
MULGUL STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
MULLALOO,HILLARYS,JOONDALUP,METROPOLITAN REGION NORTH
MULLALYUP,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
MULLEWA,MULLEWA,MID WEST-GASCOYNE,REGIONAL WA REGION
MULLINE,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MULLINGAR,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MULUCKINE,NORTHAM,WHEATBELT,REGIONAL WA REGION
MULWARRIE,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MULYIE STATION,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
MUMBALLUP,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
MUMBERKINE,GOOMALLING,WHEATBELT,REGIONAL WA REGION
MUMBINIA STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
MUMBY STATION,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
MUNAPUTTING SOAK,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
MUNARRA STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
MUNDABULLANGANA,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
MUNDABULLANGANA STATION,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
MUNDARING,MUNDARING,MIDLAND,METROPOLITAN REGION NORTH
MUNDARING WEIR,MUNDARING,MIDLAND,METROPOLITAN REGION NORTH
MUNDIJONG,MUNDIJONG,ARMADALE,METROPOLITAN REGION SOUTH
MUNDRABILLA,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MUNDRABILLA ROADHOUSE,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MUNDRABILLA STATION,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MUNGALUP,COLLIE,SOUTH WEST,REGIONAL WA REGION
MUNGARI,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
MUNGATERRA,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
MUNGEDAR,MOORA,WHEATBELT,REGIONAL WA REGION
MUNGERDEGUNYIDIE,CARNAMAH,MID WEST-GASCOYNE,REGIONAL WA REGION
MUNGLINUP,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
MUNJA,DERBY,KIMBERLEY,REGIONAL WA REGION
MUNSTER,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
MUNTADGIN,MERREDIN,WHEATBELT,REGIONAL WA REGION
MURADUP,KOJONUP,GREAT SOUTHERN,REGIONAL WA REGION
MURALGARRA STATION,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
MURCHISON,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
MURCHISON DOWNS STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
MURCHISON HOUSE STATION,KALBARRI,MID WEST-GASCOYNE,REGIONAL WA REGION
MURCHISON RIVER,KALBARRI,MID WEST-GASCOYNE,REGIONAL WA REGION
MURDOCH,MURDOCH,FREMANTLE,METROPOLITAN REGION SOUTH
MURDONG,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
MURESK,NORTHAM,WHEATBELT,REGIONAL WA REGION
MURESK AGRICULTURAL COLLE,NORTHAM,WHEATBELT,REGIONAL WA REGION
MURGOO STATION,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
MURRAY BEND,BODDINGTON,GREAT SOUTHERN,REGIONAL WA REGION
MURRUM STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
MUTTON BIRD,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
MYALLS BORE,DERBY,KIMBERLEY,REGIONAL WA REGION
MYALUP,HARVEY,SOUTH WEST,REGIONAL WA REGION
MYARA,DWELLINGUP,MANDURAH,METROPOLITAN REGION SOUTH
MYAREE,PALMYRA,FREMANTLE,METROPOLITAN REGION SOUTH
MYROONDAH STATION,DERBY,KIMBERLEY,REGIONAL WA REGION
MYRUP,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NABAWA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NAIRIBIN,DUMBLEYUNG,GREAT SOUTHERN,REGIONAL WA REGION
NAIRNS,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
NALBARRA STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
NALKAIN,WYALKATCHEM,WHEATBELT,REGIONAL WA REGION
NALLAN LAKE,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
NALLAN PUMPING STATION,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
NALLAN STATION,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
NALYA,BROOKTON,GREAT SOUTHERN,REGIONAL WA REGION
NALYERLUP,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
NAMAMBINIA,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NAMBADILLING,CORRIGIN,GREAT SOUTHERN,REGIONAL WA REGION
NAMBAN,MOORA,WHEATBELT,REGIONAL WA REGION
NAMBEELLUP,PINJARRA,MANDURAH,METROPOLITAN REGION SOUTH
NAMBEELUP,PINJARRA,MANDURAH,METROPOLITAN REGION SOUTH
NAMBI STATION,LEONORA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NAMBLING,DOWERIN,WHEATBELT,REGIONAL WA REGION
NAMBUNG,JURIEN BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
NANAMULLEN,NORTHAM,WHEATBELT,REGIONAL WA REGION
NANARUP,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
NANGA,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
NANGA BROOK,WAROONA,SOUTH WEST,REGIONAL WA REGION
NANGA STATION,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
NANGEENAN,MERREDIN,WHEATBELT,REGIONAL WA REGION
NANGETTY,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
NANGETTY STATION,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
NANNINE,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
NANNUP,NANNUP,SOUTH WEST,REGIONAL WA REGION
NANSON,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NANUTARRA,ONSLOW,PILBARA,REGIONAL WA REGION
NANUTARRA STATION,ONSLOW,PILBARA,REGIONAL WA REGION
NANYANINE,KELLERBERRIN,WHEATBELT,REGIONAL WA REGION
NAPIER,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
NAPIER DOWNS STATION,DERBY,KIMBERLEY,REGIONAL WA REGION
NARALING,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NARDY,MOORA,WHEATBELT,REGIONAL WA REGION
NAREMBEEN,NAREMBEEN,WHEATBELT,REGIONAL WA REGION
NARKAL,KOORDA,WHEATBELT,REGIONAL WA REGION
NARLOO STATION,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
NARNDEE STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
NARNGULU,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NARPANUP,MOUNT BARKER,GREAT SOUTHERN,REGIONAL WA REGION
NARRA TARRA,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NARRAKINE,WILLIAMS,GREAT SOUTHERN,REGIONAL WA REGION
NARRALOGGAN,YORK,WHEATBELT,REGIONAL WA REGION
NARRAMYNE,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NARRIKUP,MOUNT BARKER,GREAT SOUTHERN,REGIONAL WA REGION
NARROGIN,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
NARROGIN VALLEY,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
NATIONAL PARK,MUNDARING,MIDLAND,METROPOLITAN REGION NORTH
NATURALISTE,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
NATURALISTE RIDGE,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
NAVAL BASE,KWINANA,MANDURAH,METROPOLITAN REGION SOUTH
NAWARUP,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
NEALE,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NEBRIKINNING,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
NEDLANDS,WEMBLEY,PERTH,METROPOLITAN REGION NORTH
NEDS CREEK STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
NEEDILUP,JERRAMUNGUP,GREAT SOUTHERN,REGIONAL WA REGION
NEEDLING,YORK,WHEATBELT,REGIONAL WA REGION
NEENDALING,LAKE GRACE,GREAT SOUTHERN,REGIONAL WA REGION
NEERABUP,WANNEROO,JOONDALUP,METROPOLITAN REGION NORTH
NEERGABBY,LANCELIN,WHEATBELT,REGIONAL WA REGION
NEMBUDDING,WYALKATCHEM,WHEATBELT,REGIONAL WA REGION
NEPEAN,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NERIDUP,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NERRAMYNE,MULLEWA,MID WEST-GASCOYNE,REGIONAL WA REGION
NERREN NERREN,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
NERREN NERREN STATION,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NERREN-NERREN,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
NERRIMA STATION,DERBY,KIMBERLEY,REGIONAL WA REGION
NEW FORREST STATION,MULLEWA,MID WEST-GASCOYNE,REGIONAL WA REGION
NEW NORCIA,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
NEW YORK JUMPUP,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
NEWBURN,BELMONT,CANNINGTON,METROPOLITAN REGION SOUTH
NEWCARLBEAN,KOORDA,WHEATBELT,REGIONAL WA REGION
NEWCARLBEON,KOORDA,WHEATBELT,REGIONAL WA REGION
NEWDEGATE,LAKE GRACE,GREAT SOUTHERN,REGIONAL WA REGION
NEWGALUP,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
NEWLANDS,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
NEWMAN,NEWMAN,PILBARA,REGIONAL WA REGION
NFPA,PERTH,PERTH,METROPOLITAN REGION NORTH
NGAANYATJARRA-GILES,WARAKURNA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NGULWIRRIWIRRI COMMUNITY,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
NIAGARA,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NICHOLSON STATION,HALLS CREEK,KIMBERLEY,REGIONAL WA REGION
NICKOL,KARRATHA,PILBARA,REGIONAL WA REGION
NIFTY,MARBLE BAR,PILBARA,REGIONAL WA REGION
NIFTY COPPER PROJECT,MARBLE BAR,PILBARA,REGIONAL WA REGION
NIGHTSHADE STATION,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NILGEN,LANCELIN,WHEATBELT,REGIONAL WA REGION
NILLIBUCCA,DERBY,KIMBERLEY,REGIONAL WA REGION
NILLUP,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
NIMINARRA,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
NINGALOO,EXMOUTH,PILBARA,REGIONAL WA REGION
NINGALOO MARINE PARK,EXMOUTH,PILBARA,REGIONAL WA REGION
NINGALOO STATION,EXMOUTH,PILBARA,REGIONAL WA REGION
NINGBING BORE,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
NINGHAN STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
NIOBLA STATION,WILUNA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NIPPERING,DUMBLEYUNG,GREAT SOUTHERN,REGIONAL WA REGION
NIRIMBA,PINJARRA,MANDURAH,METROPOLITAN REGION SOUTH
NITA DOWNS STATION,BROOME,KIMBERLEY,REGIONAL WA REGION
NOBLE FALLS,MUNDARING,MIDLAND,METROPOLITAN REGION NORTH
NOGGERUP,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
NOGGOJERRING,NORTHAM,WHEATBELT,REGIONAL WA REGION
NOKANELLUP,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
NOKANEWA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NOKANING,MERREDIN,WHEATBELT,REGIONAL WA REGION
NOLBA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NOLLAMARA,MIRRABOOKA,MIRRABOOKA,METROPOLITAN REGION NORTH
NOMANS LAKE,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
NOOKAWARRA STATION,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
NOOMBLING,PINGELLY,GREAT SOUTHERN,REGIONAL WA REGION
NOONDI OUTCAMP,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
NOONDOONIA STATION,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NOONEBIN,PINGELLY,GREAT SOUTHERN,REGIONAL WA REGION
NOONGAAR,SOUTHERN CROSS,WHEATBELT,REGIONAL WA REGION
NOONGAL STATION,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
NOONGAR,BRUCE ROCK,WHEATBELT,REGIONAL WA REGION
NOONKANBAH STATION,LOOMA,KIMBERLEY,REGIONAL WA REGION
NORANDA,MORLEY,MIRRABOOKA,METROPOLITAN REGION NORTH
NOREENA DOWNS STATION,NULLAGINE,PILBARA,REGIONAL WA REGION
NORIE STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
NORMAN MINE,MARBLE BAR,PILBARA,REGIONAL WA REGION
NORMANS BEACH,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
NORNAKIN,CORRIGIN,GREAT SOUTHERN,REGIONAL WA REGION
NORNALUP,WALPOLE,GREAT SOUTHERN,REGIONAL WA REGION
NORNALUP INLET,WALPOLE,GREAT SOUTHERN,REGIONAL WA REGION
NORPA,MERREDIN,WHEATBELT,REGIONAL WA REGION
NORRING,WAGIN,GREAT SOUTHERN,REGIONAL WA REGION
NORSEMAN,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NORTH BAANDEE,KELLERBERRIN,WHEATBELT,REGIONAL WA REGION
NORTH BANNISTER,PINGELLY,GREAT SOUTHERN,REGIONAL WA REGION
NORTH BEACH,SCARBOROUGH,MIRRABOOKA,METROPOLITAN REGION NORTH
NORTH BODALLIN,SOUTHERN CROSS,WHEATBELT,REGIONAL WA REGION
NORTH BOYANUP,BUNBURY,SOUTH WEST,REGIONAL WA REGION
NORTH BURNGUP,LAKE GRACE,GREAT SOUTHERN,REGIONAL WA REGION
NORTH CASCADE,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NORTH COOGEE,FREMANTLE,FREMANTLE,METROPOLITAN REGION SOUTH
NORTH DANDALUP,PINJARRA,MANDURAH,METROPOLITAN REGION SOUTH
NORTH DINNINUP,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
NORTH ERADU,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NORTH FREMANTLE,FREMANTLE,FREMANTLE,METROPOLITAN REGION SOUTH
NORTH GREENBUSHES,BRIDGETOWN,SOUTH WEST,REGIONAL WA REGION
NORTH HEAD,JURIEN BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
NORTH JINDONG,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
NORTH KELLERBERRIN,KELLERBERRIN,WHEATBELT,REGIONAL WA REGION
NORTH KUKERIN,DUMBLEYUNG,GREAT SOUTHERN,REGIONAL WA REGION
NORTH KULIKUP,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
NORTH KUNUNOPPIN,BENCUBBIN,WHEATBELT,REGIONAL WA REGION
NORTH LAKE,MURDOCH,FREMANTLE,METROPOLITAN REGION SOUTH
NORTH LAKE GRACE,LAKE GRACE,GREAT SOUTHERN,REGIONAL WA REGION
NORTH MOULYINNING,DUMBLEYUNG,GREAT SOUTHERN,REGIONAL WA REGION
NORTH MUKINBUDIN,MUKINBUDIN,WHEATBELT,REGIONAL WA REGION
NORTH PERTH,WEMBLEY,PERTH,METROPOLITAN REGION NORTH
NORTH PLANTATIONS,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
NORTH POLE,MARBLE BAR,PILBARA,REGIONAL WA REGION
NORTH RANKIN 'A' PLATFORM,DAMPIER,PILBARA,REGIONAL WA REGION
NORTH STIRLINGS,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
NORTH TAMMIN,KELLERBERRIN,WHEATBELT,REGIONAL WA REGION
NORTH TRAYNING,BENCUBBIN,WHEATBELT,REGIONAL WA REGION
NORTH TURTLE ISLAND,PORT HEDLAND,PILBARA,REGIONAL WA REGION
NORTH WALPOLE,WALPOLE,GREAT SOUTHERN,REGIONAL WA REGION
NORTH WEST CAPE,EXMOUTH,PILBARA,REGIONAL WA REGION
NORTH WIALKI,MUKINBUDIN,WHEATBELT,REGIONAL WA REGION
NORTH YELBENI,BENCUBBIN,WHEATBELT,REGIONAL WA REGION
NORTH YUNDERUP,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
NORTHAM,NORTHAM,WHEATBELT,REGIONAL WA REGION
NORTHAMPTON,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NORTHBRIDGE,PERTH,PERTH,METROPOLITAN REGION NORTH
NORTHCLIFFE,PEMBERTON,SOUTH WEST,REGIONAL WA REGION
NORTHERN GULLY,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
NORTHWOOD,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
NOVARA,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
NOWERGUP,YANCHEP,JOONDALUP,METROPOLITAN REGION NORTH
NUGADONG,DALWALLINU,WHEATBELT,REGIONAL WA REGION
NUKARNI,MERREDIN,WHEATBELT,REGIONAL WA REGION
NULLA NULLA STATION,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
NULLAGINE,NULLAGINE,PILBARA,REGIONAL WA REGION
NULLAKI,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
NULLAKI POINT,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
NULSEN,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NUMBER 4 & 5 PUMPING STAT,MERREDIN,WHEATBELT,REGIONAL WA REGION
NUMBER 8 PUMPING STATION,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NUNGARIN,MUKINBUDIN,WHEATBELT,REGIONAL WA REGION
NUNIERRA,MULLEWA,MID WEST-GASCOYNE,REGIONAL WA REGION
NUNIJUP,TAMBELLUP,GREAT SOUTHERN,REGIONAL WA REGION
NUNILE,TOODYAY,WHEATBELT,REGIONAL WA REGION
NUNYERRY,ROEBOURNE,PILBARA,REGIONAL WA REGION
NUNYLE,TOODYAY,WHEATBELT,REGIONAL WA REGION
NURINA,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
NUYTS,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
NYABING,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
NYAMUP,MANJIMUP,SOUTH WEST,REGIONAL WA REGION
NYANG STATION,ONSLOW,PILBARA,REGIONAL WA REGION
O'CONNOR,PALMYRA,FREMANTLE,METROPOLITAN REGION SOUTH
OAKABELLA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
OAKAJEE,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
OAKFORD,MUNDIJONG,ARMADALE,METROPOLITAN REGION SOUTH
OAKLEY,PINJARRA,MANDURAH,METROPOLITAN REGION SOUTH
OAKOVER RIVER,NULLAGINE,PILBARA,REGIONAL WA REGION
OCEAN BEACH,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
OCEAN FARM,LANCELIN,WHEATBELT,REGIONAL WA REGION
OCEAN REEF,HILLARYS,JOONDALUP,METROPOLITAN REGION NORTH
OCKLEY,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
OGILVIE,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
OLD PLAINS,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
OLDBURY,MUNDIJONG,ARMADALE,METROPOLITAN REGION SOUTH
OLDFIELD,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
OLDFIELD RIVER,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
OLIVE HILL,AUSTRALIND,SOUTH WEST,REGIONAL WA REGION
ONE ARM POINT,DAMPIER PENINSULA,KIMBERLEY,REGIONAL WA REGION
ONGERUP,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
ONSLOW,ONSLOW,PILBARA,REGIONAL WA REGION
OOBAGOOMA STATION,DERBY,KIMBERLEY,REGIONAL WA REGION
OOMBULGURRI,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
OPENING BAY,DERBY,KIMBERLEY,REGIONAL WA REGION
ORA BANDA,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
ORANA,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
ORANGE GROVE,GOSNELLS,ARMADALE,METROPOLITAN REGION SOUTH
ORANGE SPRINGS,GINGIN,WHEATBELT,REGIONAL WA REGION
ORCHID VALLEY,KOJONUP,GREAT SOUTHERN,REGIONAL WA REGION
ORD RIVER,HALLS CREEK,KIMBERLEY,REGIONAL WA REGION
ORD RIVER DAM,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
ORD RIVER DIVERSION DAM,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
ORELIA,KWINANA,MANDURAH,METROPOLITAN REGION SOUTH
